pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
164.5,-41.0,0.0,top,3.3V1,,,TestPoint_Pad_D2.5mm,TestPoint,tht
169.0,-41.0,0.0,top,5V1,,,TestPoint_Pad_D2.5mm,TestPoint,tht
165.25,-140.75,0.0,top,AUD-L1,,,TestPoint_Pad_1.0x1.0mm,TestPoint,tht
165.25,-142.85,0.0,top,AUD-R1,,,TestPoint_Pad_1.0x1.0mm,TestPoint,tht
166.815,-71.925,0.0,top,BT1,,,PinHeader_1x02_P2.54mm_Horizontal,Battery,tht
162.1197,-78.839284,180.0,top,C1,,,C_0603_1608Metric,1uF,smt
139.1197,-94.935691,90.0,top,C10,,,C_0805_2012Metric,22uF,smt
142.3397,-93.647878,0.0,top,C11,,,C_0805_2012Metric,22uF,smt
151.6197,-128.030691,180.0,top,C12,,,C_0603_1608Metric,10uF,smt
157.3697,-107.202566,-90.0,top,C13,,,C_0603_1608Metric,10uF,smt
147.6197,-56.2853,90.0,top,C14,,,C_0805_2012Metric,100nF,smt
145.1197,-56.2853,90.0,top,C15,,,C_0805_2012Metric,100nF,smt
147.6197,-52.269675,90.0,top,C16,,,C_0805_2012Metric,100nF,smt
145.1197,-52.269675,90.0,top,C17,,,C_0805_2012Metric,100nF,smt
150.1197,-55.281394,90.0,top,C18,,,C_0805_2012Metric,100nF,smt
153.8397,-58.511159,0.0,top,C19,,,C_0805_2012Metric,100nF,smt
135.8697,-38.936941,90.0,top,C2,,,C_0603_1608Metric,10uF,smt
142.6197,-56.2853,90.0,top,C20,,,C_0805_2012Metric,22uF,smt
154.3397,-63.530691,0.0,top,C21,,,C_0805_2012Metric,22uF,smt
154.3397,-61.020925,0.0,top,C22,,,C_0805_2012Metric,22uF,smt
152.6197,-52.771628,90.0,top,C23,,,C_0805_2012Metric,22uF,smt
153.3397,-56.001394,0.0,top,C24,,,C_0805_2012Metric,22uF,smt
158.6197,-75.861472,90.0,top,C25,,,C_0805_2012Metric,22uF,smt
138.3397,-100.173269,0.0,top,C26,,,C_0805_2012Metric,22uF,smt
135.1197,-99.453269,90.0,top,C27,,,C_0805_2012Metric,22uF,smt
138.3397,-102.683034,0.0,top,C28,,,C_0805_2012Metric,22uF,smt
135.1197,-106.982566,-90.0,top,C29,,,C_0805_2012Metric,22uF,smt
153.8697,-142.339284,90.0,top,C3,,,C_0603_1608Metric,10uF,smt
132.6197,-107.986472,-90.0,top,C30,,,C_0805_2012Metric,22uF,smt
138.3397,-107.702566,0.0,top,C31,,,C_0805_2012Metric,22uF,smt
138.3397,-105.1928,0.0,top,C32,,,C_0805_2012Metric,22uF,smt
161.6197,-101.929128,180.0,top,C33,,,C_0603_1608Metric,10uF,smt
165.1197,-101.929128,180.0,top,C34,,,C_0603_1608Metric,10uF,smt
140.8397,-111.718191,0.0,top,C35,,,C_0805_2012Metric,22uF,smt
148.3397,-114.729909,0.0,top,C36,,,C_0805_2012Metric,22uF,smt
136.8397,-111.718191,0.0,top,C37,,,C_0805_2012Metric,22uF,smt
131.3697,-41.446706,-90.0,top,C4,,,C_0603_1608Metric,2.2uF,smt
155.3697,-115.735769,90.0,top,C43,,,C_0603_1608Metric,100nF,smt
130.6197,-44.204519,180.0,top,C5,,,C_0603_1608Metric,2.2uF,smt
152.3697,-150.872488,-90.0,top,C6,,,C_0603_1608Metric,10uF,smt
162.1197,-81.34905,180.0,top,C7,,,C_0603_1608Metric,1uF,smt
132.6197,-98.449363,90.0,top,C8,,,C_0805_2012Metric,22uF,smt
142.3397,-96.157644,180.0,top,C9,,,C_0805_2012Metric,22uF,smt
146.3897,-138.247547,90.0,top,D4,,,D_SMA,D_Schottky,smt
153.371535,-136.273977,0.0,top,D5,,,LED_0805_2012Metric,LED,smt
158.8897,-86.044422,90.0,top,D6,,,D_SMA,D_Schottky,smt
162.871535,-91.098196,0.0,top,D7,,,LED_0805_2012Metric,LED,smt
145.3197,-100.146415,180.0,top,D8,,,LED_0805_2012Metric,LED,smt
104.0897,-63.332644,90.0,top,F1,,,R_0805_2012Metric,PPTC,smt
107.8197,-67.074363,0.0,top,F2,,,R_0805_2012Metric,PPTC,smt
164.5,-36.0,0.0,top,GND1,,,TestPoint_Pad_D2.5mm,TestPoint,tht
105.0,-30.0,0.0,top,H1,,,MountingHole_2.2mm_M2_DIN965_Pad,MountingHole,tht
167.5,-30.0,0.0,top,H2,,,MountingHole_2.2mm_M2_DIN965_Pad,MountingHole,tht
167.5,-150.0,0.0,top,H3,,,MountingHole_2.2mm_M2_DIN965_Pad,MountingHole,tht
105.0,-150.0,0.0,top,H4,,,MountingHole_2.2mm_M2_DIN965_Pad,MountingHole,tht
128.4,-148.0,0.0,top,I2C3-SCL1,,,TestPoint_Pad_D2.5mm,TestPoint,tht
128.4,-152.2,0.0,top,I2C3-SDA1,,,TestPoint_Pad_D2.5mm,TestPoint,tht
137.7,-151.81,0.0,top,J1,,,USB_C_Receptacle_HRO_TYPE-C-31-M-12,USB_C_Receptacle_USB2.0_14P,smt
105.385,-94.0,180.0,top,J2,,,PinHeader_1x05_P2.54mm_Horizontal,Conn_01x05,tht
137.8,-31.29,180.0,top,J3,,,HIROSE_DF40C-34DS-0.4V_58_,Conn_2Rows-35Pins_MountingPin,smt
116.8,-146.54,0.0,top,J4,,,HIROSE_DF40C-34DS-0.4V_58_,Conn_2Rows-35Pins_MountingPin,smt
155.6,-146.54,0.0,top,J5,,,HIROSE_DF40C-34DS-0.4V_58_,Conn_2Rows-35Pins_MountingPin,smt
109.515,-105.72,-90.0,top,J7,,,microSD_HC_Hirose_DM3AT-SF-PEJM5,Micro_SD_Card_Det1,smt
109.8,-56.26,0.0,top,J8,,,HIROSE_DF40C-34DS-0.4V_58_,Conn_2Rows-35Pins_MountingPin,smt
104.4125,-127.7,90.0,top,J9,,,AMPHENOL_MDT180E03001,Bus_M.2_Socket_E,smt
129.8897,-103.270847,-90.0,top,L2,,,L_Wurth_WE-LQSH-4020,1uH,smt
164.5397,-108.440378,0.0,top,L3,,,L_Wurth_WE-LQSH-4020,1.5uH,smt
136.729085,-73.995419,0.0,top,MCM93_MOD1,,,LGA-140-080-30x30-iMX93,MCM93_MOD,tht
