Designator,Footprint,Quantity,Value,LCSC Part #
BT1,PinHeader_1x02_P1.00mm_Horizontal,1,Battery,
"C1, C7",0603,2,20uF,
"C10, C11, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C8, C9",0603,23,22uF,
"C12, C13, C2, C3, C6",0603,5,10uF,
"C4, C5",0603,2,2.2uF,
D1,0201,1,D_Schottky,
D2,0805,1,LED,
J1,USB_C_Receptacle_Amphenol_12401548E4-2A,1,USB_C_Receptacle_USB2.0_14P,
J2,PinHeader_1x05_P1.00mm_Horizontal,1,Conn_01x05,
"J3, J4, J5",HIROSE_DF40C-34DS-0.4V_58_,3,Conn_2Rows-35Pins_MountingPin,
J7,microSD_HC_Hirose_DM3AT-SF-PEJM5,1,Micro_SD_Card_Det1,
L1,0201,1,47uh/2A,
L2,0201,1,1uH,
MCM93_MOD1,LGA-140-080-30x30-iMX93,1,MCM93_MOD,
R1,0603,1,1Mega Ohm,
"R2, R3",0805,2,5.1 kΩ,
R4,0805,1,1.2 kΩ,
"R5, R6",0805,2,10 kΩ,
"SW1, SW2",SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,2,SW_Push,
"TP1, TP2, TP3, TP4",TestPoint_Pad_2.5x2.5mm,4,TestPoint,
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,XL1509-3.3,
U2,SOP65P640X120-20N,1,PCM5102APWR,
U3,VREG_MIC2877-AYFT-TR,1,~,
U5,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,TP4056-42-ESOP8,
