Designator,Mid X,Mid Y,Rotation,Layer
BT1,169.625,-72.5,0.0,top
C1,106.3697,-65.038503,270.0,top
C10,158.6197,-30.149831,0.0,top
C11,158.1197,-32.157644,180.0,top
C12,152.6197,-125.520925,0.0,top
C13,153.3697,-128.78655,90.0,top
C14,141.48,-59.725,90.0,top
C15,143.99,-59.725,90.0,top
C16,146.5,-59.725,90.0,top
C17,149.01,-59.725,90.0,top
C18,143.25,-54.75,90.0,top
C19,146.5,-54.75,90.0,top
C2,140.1197,-105.4428,180.0,top
C20,149.25,-54.75,90.0,top
C21,140.75,-56.75,90.0,top
C22,152.25,-58.0,0.0,top
C23,152.25,-61.0,0.0,top
C24,149.75,-63.25,0.0,top
C25,129.815,-113.25,0.0,top
C26,129.815,-115.76,0.0,top
C27,129.815,-118.27,0.0,top
C28,129.815,-120.78,0.0,top
C29,143.2,-114.6,0.0,top
C3,149.3697,-142.841238,90.0,top
C30,143.2,-117.11,0.0,top
C31,165.4,-121.2,0.0,top
C32,165.4,-123.71,0.0,top
C33,157.8697,-104.190847,270.0,top
C34,154.6197,-103.434988,0.0,top
C35,106.8697,-95.657644,90.0,top
C36,167.3697,-129.790456,270.0,top
C37,108.8697,-96.159597,270.0,top
C4,151.1197,-101.929128,0.0,top
C43,169.3697,-115.735769,90.0,top
C5,140.8697,-108.206472,90.0,top
C6,152.1197,-150.116628,180.0,top
C7,111.1197,-67.294363,0.0,top
C8,145.3697,-121.759206,270.0,top
C9,122.3697,-54.497488,270.0,top
D1,106.2,-76.8,90.0,top
D4,156.203625,-135.041941,0.0,top
D5,148.371535,-127.740774,0.0,top
J1,137.7,-150.01,0.0,top
J2,102.5,-92.0,180.0,top
J3,145.54,-40.1,90.0,top
J4,116.8,-146.54,0.0,top
J5,155.6,-146.54,0.0,top
J7,109.865,-111.17,270.0,top
L1,107.625,-52.2,0.0,top
L2,158.75,-112.5,0.0,top
L3,160.5397,-97.397409,180.0,top
MCM93_MOD1,134.9995,-80.5005,0.0,top
R1,153.7897,-117.489675,180.0,top
R10,162.8197,-129.818503,180.0,top
R11,168.3197,-109.740378,180.0,top
R2,147.3197,-145.881003,0.0,top
R3,140.3197,-138.853659,180.0,top
R4,159.5875,-119.25,0.0,top
R5,160.0262,-61.388331,270.0,top
R6,162.8,-51.2,90.0,top
R7,166.8197,-126.304831,0.0,top
R8,151.0897,-132.602175,90.0,top
R9,166.3197,-104.218894,180.0,top
SW1,165.2,-57.2,0.0,top
SW2,165.2,-64.6,0.0,top
U1,110.4397,-62.31655,0.0,top
U2,146.509388,-107.679098,0.0,top
U3,148.0897,-120.379606,90.0,top
U4,165.5897,-117.273606,270.0,top
U5,157.3397,-125.060691,180.0,top
